backend,dim,dtype,solver,case,grid_size,tol,max_iter,repeat_runs,cycle,nu,omega,mg_coarse,coarse_steps,omp_num_threads,iterations,residual_l2,error_l2,error_linf,time_ms
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.15,sor,16,,6,5.262691e-10,4.546417e-09,8.836668e-09,219.979
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.2,exact,,,6,6.66934e-10,4.54638e-09,8.836629e-09,290.248
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.2,sor,16,,6,6.669207e-10,4.54639e-09,8.836617e-09,219.877
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,exact,,,7,4.882064e-10,4.546383e-09,8.836601e-09,329.357
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,sor,1,,7,4.885701e-10,4.546389e-09,8.836638e-09,231.748
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,sor,2,,7,4.881671e-10,4.546379e-09,8.836605e-09,228.077
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,sor,4,,7,4.884049e-10,4.546384e-09,8.836624e-09,235.093
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,sor,6,,7,4.881965e-10,4.546387e-09,8.836631e-09,231.155
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,sor,8,,7,4.882462e-10,4.546389e-09,8.836651e-09,231.764
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,sor,12,,7,4.884376e-10,4.546383e-09,8.836638e-09,240.535
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.25,sor,16,,7,4.885205e-10,4.546385e-09,8.836629e-09,240.959
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.3,exact,,,8,4.203681e-10,4.546431e-09,8.836684e-09,369.088
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.3,sor,16,,8,4.208996e-10,4.546434e-09,8.836733e-09,282.53
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.35,exact,,,9,4.340201e-10,4.546362e-09,8.836555e-09,423.122
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.35,sor,16,,9,4.34016e-10,4.546357e-09,8.836571e-09,307.088
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.4,exact,,,9,7.33e-10,4.546365e-09,8.836573e-09,407.689
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.4,sor,16,,9,7.328779e-10,4.546373e-09,8.836586e-09,306.819
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.45,exact,,,10,5.500149e-10,4.546383e-09,8.836595e-09,447.018
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.45,sor,16,,10,5.498245e-10,4.546389e-09,8.836623e-09,339.075
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.5,exact,,,11,5.904492e-10,4.546386e-09,8.836599e-09,486.888
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.5,sor,16,,11,5.905254e-10,4.546386e-09,8.83661e-09,366.249
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,exact,,,7,3.732269e-10,4.546385e-09,8.836612e-09,363.813
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,sor,1,,7,3.730091e-10,4.546378e-09,8.83661e-09,274.332
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,sor,2,,7,3.730468e-10,4.546379e-09,8.836598e-09,276.243
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,sor,4,,7,3.731084e-10,4.546385e-09,8.836601e-09,284.679
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,sor,6,,7,3.731043e-10,4.546385e-09,8.836625e-09,282.076
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,sor,8,,7,3.730339e-10,4.546383e-09,8.83662e-09,284.826
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,sor,12,,7,3.729561e-10,4.546383e-09,8.836623e-09,287.739
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,4,1.25,sor,16,,7,3.730876e-10,4.546385e-09,8.83661e-09,284.696
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,5,1.25,exact,,,6,4.463182e-10,4.546378e-09,8.836671e-09,358.37
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,5,1.25,sor,16,,6,4.470812e-10,4.546388e-09,8.836618e-09,288.497
cuda,2,double,mg,cosine,4095,1e-09,150,5,v,3,1.25,exact,,,8,3.862726e-10,4.546387e-09,8.836614e-09,150.392
