dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,omp_num_threads,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,255,65025,4,2.403329e-10,6.274967e-06,1.254993e-05,2.096000e+00,2.096000e-03,3.223376e-02,3.102338e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,255,65025,4,2.403329e-10,6.274967e-06,1.254993e-05,2.554000e+00,2.554000e-03,3.927720e-02,2.546006e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,511,261121,4,2.600678e-10,1.568728e-06,3.137453e-06,1.990000e+00,1.990000e-03,7.620988e-03,1.312166e+08,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,511,261121,4,2.615459e-10,1.568728e-06,3.137453e-06,9.867000e+00,9.867000e-03,3.778708e-02,2.646407e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,511,261121,4,2.615459e-10,1.568728e-06,3.137453e-06,5.793000e+00,5.793000e-03,2.218512e-02,4.507526e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,511,261121,4,2.615459e-10,1.568728e-06,3.137453e-06,4.365000e+00,4.365000e-03,1.671639e-02,5.982153e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,511,261121,4,2.615459e-10,1.568728e-06,3.137453e-06,3.370000e+00,3.370000e-03,1.290589e-02,7.748398e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,511,261121,4,2.615459e-10,1.568728e-06,3.137453e-06,5.720000e+00,5.720000e-03,2.190555e-02,4.565052e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,511,261121,4,2.615459e-10,1.568728e-06,3.137453e-06,5.671000e+00,5.671000e-03,2.171790e-02,4.604497e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,511,261121,4,2.615459e-10,1.568728e-06,3.137453e-06,5.572000e+00,5.572000e-03,2.133877e-02,4.686307e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,1023,1046529,4,2.713145e-10,3.921770e-07,7.843501e-07,5.996000e+00,5.996000e-03,5.729416e-03,1.745379e+08,1.000000e-09,150,5,true,wrapper
